Instance,matrix_Time,matrix_Solutions,matrix_Decisions
kts21-ptpt-0002,TO,TO,TO
kts21-ptpt-0003,TO,TO,TO
kts21-ptpt-0004,TO,TO,TO
kts21-ptpt-0005,TO,TO,TO
kts21-ptpt-0006,TO,TO,TO
kts21-ptpt-0007,TO,TO,TO
kts21-ptpt-0008,TO,TO,TO
kts21-ptpt-0009,TO,TO,TO
kts21-ptpt-0010,TO,TO,TO
kts21-ptpt-0011,TO,TO,TO
kts21-ptpt-0012,TO,TO,TO
kts21-ptpt-0013,TO,TO,TO
kts21-ptpt-0014,TO,TO,TO
kts21-ptpt-0015,TO,TO,TO
kts21-ptpt-0016,TO,TO,TO
kts21-ptpt-0017,TO,TO,TO
kts21-ptpt-0018,TO,TO,TO
kts21-ptpt-0019,TO,TO,TO
kts21-ptpt-0020,TO,TO,TO
kts21-ptpt-0021,TO,TO,TO
kts21-ptpt-0022,TO,TO,TO
kts21-ptpt-0023,TO,TO,TO
kts21-ptpt-0024,TO,TO,TO
kts21-ptpt-0025,TO,TO,TO
kts21-ptpt-0026,TO,TO,TO
kts21-ptpt-0027,TO,TO,TO
kts21-ptpt-0028,TO,TO,TO
kts21-ptpt-0029,TO,TO,TO
kts21-ptpt-0030,TO,TO,TO
kts21-ptpt-0031,TO,TO,TO
kts21-ptpt-0032,TO,TO,TO
kts21-ptpt-0033,TO,TO,TO
kts21-ptpt-0034,TO,TO,TO
kts21-ptpt-0035,TO,TO,TO
kts21-ptpt-0036,TO,TO,TO
kts21-ptpt-0037,TO,TO,TO
kts21-ptpt-0038,TO,TO,TO
kts21-ptpt-0039,TO,TO,TO
kts21-ptpt-0040,TO,TO,TO
kts21-ptpt-0041,TO,TO,TO
kts21-ptpt-0042,TO,TO,TO
kts21-ptpt-0043,TO,TO,TO
kts21-ptpt-0044,TO,TO,TO
kts21-ptpt-0045,TO,TO,TO
kts21-ptpt-0046,TO,TO,TO
kts21-ptpt-0047,TO,TO,TO
kts21-ptpt-0048,TO,TO,TO
kts21-ptpt-0049,TO,TO,TO
kts21-ptpt-0050,TO,TO,TO
kts21-ptpt-0051,TO,TO,TO
kts21-ptpt-0052,TO,TO,TO
kts21-ptpt-0053,TO,TO,TO
kts21-ptpt-0054,TO,TO,TO
kts21-ptpt-0055,TO,TO,TO
kts21-ptpt-0056,TO,TO,TO
kts21-ptpt-0057,TO,TO,TO
kts21-ptpt-0058,TO,TO,TO
kts21-ptpt-0059,TO,TO,TO
kts21-ptpt-0060,TO,TO,TO
kts21-ptpt-0061,TO,TO,TO
kts21-ptpt-0062,TO,TO,TO
kts21-ptpt-0063,TO,TO,TO
kts21-ptpt-0064,TO,TO,TO
kts21-ptpt-0065,TO,TO,TO
kts21-ptpt-0066,TO,TO,TO
kts21-ptpt-0067,TO,TO,TO
kts21-ptpt-0068,TO,TO,TO
kts21-ptpt-0069,TO,TO,TO
kts21-ptpt-0070,TO,TO,TO
kts21-ptpt-0071,TO,TO,TO
kts21-ptpt-0072,TO,TO,TO
kts21-ptpt-0073,TO,TO,TO
kts21-ptpt-0074,TO,TO,TO
kts21-ptpt-0075,TO,TO,TO
kts21-ptpt-0076,TO,TO,TO
kts21-ptpt-0077,TO,TO,TO
kts21-ptpt-0078,TO,TO,TO
kts21-ptpt-0079,TO,TO,TO
kts21-ptpt-0080,TO,TO,TO
kts21-ptpt-0081,TO,TO,TO
kts21-ptpt-0082,TO,TO,TO
kts21-ptpt-0083,TO,TO,TO
kts21-ptpt-0084,TO,TO,TO
kts21-ptpt-0085,TO,TO,TO
kts21-ptpt-0086,TO,TO,TO
kts21-ptpt-0087,TO,TO,TO
kts21-ptpt-0088,TO,TO,TO
kts21-ptpt-0089,TO,TO,TO
kts21-ptpt-0090,TO,TO,TO
kts21-ptpt-0091,TO,TO,TO
kts21-ptpt-0092,TO,TO,TO
kts21-ptpt-0093,TO,TO,TO
kts21-ptpt-0094,TO,TO,TO
kts21-ptpt-0095,TO,TO,TO
kts21-ptpt-0096,TO,TO,TO
kts21-ptpt-0097,TO,TO,TO
kts21-ptpt-0098,TO,TO,TO
kts21-ptpt-0099,TO,TO,TO
kts21-ptpt-0100,TO,TO,TO
latin6-blk-00001,0.007,48,-
latin6-blk-00002,0.007,56,-
latin6-blk-00003,0.009,80,-
latin6-blk-00004,0.009,72,-
latin6-blk-00005,0.009,80,-
latin6-blk-00006,0.019,88,-
latin6-blk-00007,0.016,80,-
latin7-blk-00001,0.760,10752,-
latin7-blk-00002,0.738,14976,-
latin7-blk-00003,1.159,17280,-
latin7-blk-00004,1.074,19840,-
latin7-blk-00005,2.106,20480,-
latin7-blk-00006,1.444,29056,-
latin7-blk-00007,1.490,23616,-
latin7-blk-00008,1.329,27072,-
latin7-blk-00009,1.780,27776,-
latin8-blk-00001,TO,TO,TO
latin8-blk-00002,TO,TO,TO
latin8-blk-00003,TO,TO,TO
latin8-blk-00004,TO,TO,TO
latin8-blk-00005,TO,TO,TO
latin8-blk-00006,TO,TO,TO
latin8-blk-00007,TO,TO,TO
latin8-blk-00008,TO,TO,TO
latin8-blk-00009,TO,TO,TO
latin8-blk-00010,TO,TO,TO
latin8-blk-00011,TO,TO,TO
latin8-blk-00012,TO,TO,TO
latin8-blk-00013,TO,TO,TO
latin8-blk-00014,TO,TO,TO
latin8-blk-00015,TO,TO,TO
meteor,TO,TO,TO
sppaa01,TO,TO,TO
