Instance,bitwise_Time,bitwise_Solutions,bitwise_Decisions,pairwise_Time,pairwise_Solutions,pairwise_Decisions,ladder_Time,ladder_Solutions,ladder_Decisions,matrix_Time,matrix_Solutions,matrix_Decisions
Garr201105,59.041,1487141964678119852732414161820029822087541329161798471707622574080,-,925.388,1487141964678119852732414161820029822087541329161798471707622574080,-,715.795,1487141964678119852732414161820029822087541329161798471707622574080,-,929.372,1487141964678119852732414161820029822087541329161798471707622574080,-
Garr201107,7.374,5423976524379650916616394250035102198368324500,-,14.740,5423976524379650916616394250035102198368324500,-,75.920,5423976524379650916616394250035102198368324500,-,14.492,5423976524379650916616394250035102198368324500,-
Garr201108,1.926,483513403404754255153502412978375508469243230663666040832000000000,-,4.986,483513403404754255153502412978375508469243230663666040832000000000,-,29.068,483513403404754255153502412978375508469243230663666040832000000000,-,5.033,483513403404754255153502412978375508469243230663666040832000000000,-
Garr201109,34.086,5771080089975474743530695183060166656,-,74.632,5771080089975474743530695183060166656,-,584.004,5771080089975474743530695183060166656,-,74.684,5771080089975474743530695183060166656,-
Garr201110,2.077,70827947477273144207346637473284640342509260800000,-,17.037,70827947477273144207346637473284640342509260800000,-,22.689,70827947477273144207346637473284640342509260800000,-,17.040,70827947477273144207346637473284640342509260800000,-
Garr201111,1.163,217033881231731069977192965857031193110773760000,-,3.646,217033881231731069977192965857031193110773760000,-,16.966,217033881231731069977192965857031193110773760000,-,3.648,217033881231731069977192965857031193110773760000,-
Garr201112,1.644,18280671064677937442888167436526553379132166550703285867361024,-,2.749,18280671064677937442888167436526553379132166550703285867361024,-,21.573,18280671064677937442888167436526553379132166550703285867361024,-,2.733,18280671064677937442888167436526553379132166550703285867361024,-
Garr201201,26.714,36795491472742327066416773771513905534902959150926762201912934400,-,191.120,36795491472742327066416773771513905534902959150926762201912934400,-,379.653,36795491472742327066416773771513905534902959150926762201912934400,-,190.859,36795491472742327066416773771513905534902959150926762201912934400,-
Geant2009,12.943,206876241822531419589522189500640198999107813945009331982080,-,1243.746,206876241822531419589522189500640198999107813945009331982080,-,169.207,206876241822531419589522189500640198999107813945009331982080,-,1243.434,206876241822531419589522189500640198999107813945009331982080,-
Geant2010,9.204,2039888960520741211356885071103348586967815799049337903680,-,1460.411,2039888960520741211356885071103348586967815799049337903680,-,108.553,2039888960520741211356885071103348586967815799049337903680,-,1456.166,2039888960520741211356885071103348586967815799049337903680,-
