Instance,matrix_Time,matrix_Solutions,matrix_Decisions
grafo11218.99,3.508,981634254919532297202912,-
grafo11223.99,0.828,2360818719012081418650711306540,-
grafo11227.100,4.326,2716288583159839941443148,-
grafo11250.99,2.980,8943747317419205357818461381583296,-
grafo11251.93,0.448,4809787111811592399184022526528,-
grafo11254.99,14.245,30139977622287267367176194,-
grafo11271.99,13.044,109664252023274371019546173840,-
grafo11280.99,0.763,83393808943885689836202,-
grafo11313.96,2.207,7003276840515664560,-
grafo11324.100,4.601,560387610526314185205659607711744,-
grafo11335.100,0.417,61471332725994635285503002432000,-
grafo11369.96,MEMOUT,MEMOUT,MEMOUT
grafo11458.100,3.025,32929161513245347400780796768,-
grafo11469.96,4.106,165728243199277045297920000,-
grafo11546.97,1.032,75444469155251576685056404800,-
grafo11569.93,3.841,4844612865840488301571200,-
grafo3224.98,MEMOUT,MEMOUT,MEMOUT
grafo3435.99,39.724,652148706592030102138027610622720,-
grafo3532.99,0.496,28327450894599629841700806720,-
grafo3680.99,1.509,2149519026657629741871667680000,-
grafo3712.95,0.546,5258623445171291339393040,-
grafo3861.99,1.306,16121448104607716575683640617648,-
grafo3890.96,1.138,8944113065325995850718418621147520,-
grafo3898.99,39.878,45437908753940371061101014897360,-
grafo3979.98,0.280,423904573438761629195520,-
grafo3995.97,1.541,5931077209549283555589214132590240,-
grafo4091.99,11.341,32508414237190114299136803240960,-
grafo6562.98,0.320,236273893424318395676761226496,-
grafo6625.99,0.289,1337161524838599745621440,-
grafo6975.39,1.223,320039444695988826981559487100000,-
grafo7221.99,0.230,1525888907338681754882536320000,-
grafo7263.99,84.959,4898247703830220765158946176,-
grafo7417.39,0.525,413427890976458123248101187541280000,-
grafo7785.100,0.826,557646274243607696621728263360,-
grafo7797.100,37.568,18087494243875214914061634240,-
grafo7907.80,2.386,56046368067982192880179200,-
grafo7936.89,MEMOUT,MEMOUT,MEMOUT
grafo8008.95,1.951,2836630049700547381881600,-
grafo8127.78,0.156,66208157321355098849280,-
grafo8198.99,0.584,649388601659380264242499152000,-
grafo8223.99,0.336,334422330310025516401710173429760,-
grafo8373.100,0.209,742658646888847672838471232000,-
grafo8478.98,6.042,12250781027964153710065548,-
grafo8490.95,313.538,6954795444905727972824869260,-
grafo8510.100,2.870,2522290965851353756626557847360,-
grafo8513.100,335.387,17469995066621824100630695740,-
grafo8549.100,MEMOUT,MEMOUT,MEMOUT
grafo8566.98,11.565,33675447534980819354777573856,-
grafo8571.94,0.488,60036648006230924769664308000,-
grafo8673.98,6.174,3665987126814610816771132800,-
grafo8674.100,3.280,4411819550965378162337392234383360,-
grafo8719.93,1060.624,2173553529918219502903872,-
grafo8739.99,7.294,3376726709558271550550300000,-
grafo8777.98,0.176,527114627133616421733651616800,-
grafo8780.96,0.783,106865700460093439124794247168,-
grafo8791.94,4.603,41589594170975930336399016,-
grafo8793.100,0.616,6290998565958574189476048,-
grafo8805.80,MEMOUT,MEMOUT,MEMOUT
grafo8812.99,MEMOUT,MEMOUT,MEMOUT
grafo8823.93,1.128,2471867976793564523950612320,-
grafo8826.100,0.803,1834705985117148849612007324569600,-
grafo8857.99,1.245,313543526986779746908720331250,-
grafo8864.98,1.351,1950049320147521882078400,-
grafo8865.100,149.568,133118304148808645048105400,-
grafo8867.97,9.525,685433148081827754240945612000,-
grafo8882.100,4.024,60433143070321573071599902510800,-
grafo8892.100,0.358,156239009903443337640000,-
grafo8893.96,0.122,8420211467291839036389765120,-
grafo8921.98,TO,TO,TO
grafo8943.98,121.635,1557799297139741798037095121600,-
grafo8963.92,139.380,22926250524268338334887333870000,-
grafo8997.96,405.116,3200870106329838063898317480,-
grafo9008.91,0.648,72401743992697856645701464672,-
grafo9357.99,16.180,142289637244534381196640,-
grafo9362.98,5.493,211356181498372577399700,-
grafo9542.87,336.079,2929426583366497844589816780,-
grafo9691.79,0.348,150604398614405598500000,-
grafo9738.100,33.918,174103352259187595283132912000,-
grafo9788.80,0.292,5964147984416058082800,-
grafo9973.96,10.212,2561493285098512987929575760,-
grafo9984.96,1.028,3696278631131858917807872,-
grafo9995.94,3.159,6526238612574319118772318,-
heart,TO,TO,TO
kts15-ptpt-0001,0.573,0,-
kts15-ptpt-0002,0.667,0,-
kts15-ptpt-0003,0.359,8,-
kts15-ptpt-0004,0.714,1,-
kts15-ptpt-0005,0.927,0,-
kts15-ptpt-0006,0.827,8,-
kts15-ptpt-0007,0.436,12,-
kts15-ptpt-0008,0.571,0,-
kts15-ptpt-0009,0.712,6,-
kts15-ptpt-0010,0.653,0,-
kts15-ptpt-0011,1.057,4,-
kts15-ptpt-0012,0.648,4,-
kts15-ptpt-0013,0.599,24,-
kts15-ptpt-0014,0.437,8,-
kts15-ptpt-0015,0.638,14,-
kts15-ptpt-0016,0.442,6,-
kts15-ptpt-0017,0.345,24,-
kts15-ptpt-0018,0.836,8,-
kts15-ptpt-0019,0.723,0,-
kts15-ptpt-0020,0.327,8,-
kts15-ptpt-0021,1.249,72,-
kts21-ptpt-0001,TO,TO,TO
kts21-ptpt-0002,TO,TO,TO
kts21-ptpt-0003,TO,TO,TO
kts21-ptpt-0004,TO,TO,TO
kts21-ptpt-0005,TO,TO,TO
kts21-ptpt-0006,TO,TO,TO
kts21-ptpt-0007,TO,TO,TO
kts21-ptpt-0008,TO,TO,TO
kts21-ptpt-0009,TO,TO,TO
kts21-ptpt-0010,TO,TO,TO
kts21-ptpt-0011,TO,TO,TO
kts21-ptpt-0012,TO,TO,TO
kts21-ptpt-0013,TO,TO,TO
kts21-ptpt-0014,TO,TO,TO
kts21-ptpt-0015,TO,TO,TO
kts21-ptpt-0016,TO,TO,TO
kts21-ptpt-0017,TO,TO,TO
kts21-ptpt-0018,TO,TO,TO
kts21-ptpt-0019,TO,TO,TO
kts21-ptpt-0020,TO,TO,TO
kts21-ptpt-0021,TO,TO,TO
kts21-ptpt-0022,TO,TO,TO
kts21-ptpt-0023,TO,TO,TO
kts21-ptpt-0024,TO,TO,TO
kts21-ptpt-0025,TO,TO,TO
kts21-ptpt-0026,TO,TO,TO
kts21-ptpt-0027,TO,TO,TO
kts21-ptpt-0028,TO,TO,TO
kts21-ptpt-0029,TO,TO,TO
kts21-ptpt-0030,TO,TO,TO
kts21-ptpt-0031,TO,TO,TO
kts21-ptpt-0032,TO,TO,TO
kts21-ptpt-0033,TO,TO,TO
kts21-ptpt-0034,TO,TO,TO
kts21-ptpt-0035,TO,TO,TO
kts21-ptpt-0036,TO,TO,TO
kts21-ptpt-0037,TO,TO,TO
kts21-ptpt-0038,TO,TO,TO
kts21-ptpt-0039,TO,TO,TO
kts21-ptpt-0040,TO,TO,TO
kts21-ptpt-0041,TO,TO,TO
kts21-ptpt-0042,TO,TO,TO
kts21-ptpt-0043,TO,TO,TO
kts21-ptpt-0044,TO,TO,TO
kts21-ptpt-0045,TO,TO,TO
kts21-ptpt-0046,TO,TO,TO
kts21-ptpt-0047,TO,TO,TO
kts21-ptpt-0048,TO,TO,TO
kts21-ptpt-0049,TO,TO,TO
kts21-ptpt-0050,TO,TO,TO
kts21-ptpt-0051,TO,TO,TO
kts21-ptpt-0052,TO,TO,TO
kts21-ptpt-0053,TO,TO,TO
kts21-ptpt-0054,TO,TO,TO
kts21-ptpt-0055,TO,TO,TO
kts21-ptpt-0056,TO,TO,TO
kts21-ptpt-0057,TO,TO,TO
kts21-ptpt-0058,TO,TO,TO
kts21-ptpt-0059,TO,TO,TO
kts21-ptpt-0060,TO,TO,TO
kts21-ptpt-0061,TO,TO,TO
kts21-ptpt-0062,TO,TO,TO
kts21-ptpt-0063,TO,TO,TO
kts21-ptpt-0064,TO,TO,TO
kts21-ptpt-0065,TO,TO,TO
kts21-ptpt-0066,TO,TO,TO
kts21-ptpt-0067,TO,TO,TO
kts21-ptpt-0068,TO,TO,TO
kts21-ptpt-0069,TO,TO,TO
kts21-ptpt-0070,TO,TO,TO
kts21-ptpt-0071,TO,TO,TO
kts21-ptpt-0072,TO,TO,TO
kts21-ptpt-0073,TO,TO,TO
kts21-ptpt-0074,TO,TO,TO
kts21-ptpt-0075,TO,TO,TO
kts21-ptpt-0076,TO,TO,TO
kts21-ptpt-0077,TO,TO,TO
kts21-ptpt-0078,TO,TO,TO
kts21-ptpt-0079,TO,TO,TO
kts21-ptpt-0080,TO,TO,TO
kts21-ptpt-0081,TO,TO,TO
