Instance,matrix_Time,matrix_Solutions,matrix_Decisions
kts15-ptpt-0002,MEMOUT,MEMOUT,MEMOUT
kts15-ptpt-0003,0.670,8,-
kts15-ptpt-0004,0.700,1,-
kts15-ptpt-0005,MEMOUT,MEMOUT,MEMOUT
kts15-ptpt-0006,0.630,8,-
kts15-ptpt-0007,0.630,12,-
kts15-ptpt-0008,MEMOUT,MEMOUT,MEMOUT
kts15-ptpt-0009,0.690,6,-
kts15-ptpt-0010,MEMOUT,MEMOUT,MEMOUT
kts15-ptpt-0011,0.720,4,-
kts15-ptpt-0012,0.610,4,-
kts15-ptpt-0013,0.640,24,-
kts15-ptpt-0014,0.500,8,-
kts15-ptpt-0015,0.710,14,-
kts15-ptpt-0016,0.560,6,-
kts15-ptpt-0017,0.540,24,-
kts15-ptpt-0018,0.730,8,-
kts15-ptpt-0019,MEMOUT,MEMOUT,MEMOUT
kts15-ptpt-0020,0.910,8,-
kts15-ptpt-0021,1.340,72,-
kts21-ptpt-0001,TO,TO,TO
kts21-ptpt-0002,TO,TO,TO
kts21-ptpt-0003,TO,TO,TO
kts21-ptpt-0004,TO,TO,TO
kts21-ptpt-0005,TO,TO,TO
kts21-ptpt-0006,TO,TO,TO
kts21-ptpt-0007,TO,TO,TO
kts21-ptpt-0008,TO,TO,TO
kts21-ptpt-0009,TO,TO,TO
kts21-ptpt-0010,TO,TO,TO
kts21-ptpt-0011,TO,TO,TO
kts21-ptpt-0012,TO,TO,TO
kts21-ptpt-0013,TO,TO,TO
kts21-ptpt-0014,TO,TO,TO
kts21-ptpt-0015,TO,TO,TO
kts21-ptpt-0016,TO,TO,TO
kts21-ptpt-0017,TO,TO,TO
kts21-ptpt-0018,TO,TO,TO
kts21-ptpt-0019,TO,TO,TO
kts21-ptpt-0020,TO,TO,TO
kts21-ptpt-0021,TO,TO,TO
kts21-ptpt-0022,TO,TO,TO
kts21-ptpt-0023,TO,TO,TO
kts21-ptpt-0024,TO,TO,TO
kts21-ptpt-0025,TO,TO,TO
kts21-ptpt-0026,TO,TO,TO
kts21-ptpt-0027,TO,TO,TO
kts21-ptpt-0028,TO,TO,TO
kts21-ptpt-0029,TO,TO,TO
kts21-ptpt-0030,TO,TO,TO
kts21-ptpt-0031,TO,TO,TO
kts21-ptpt-0032,TO,TO,TO
kts21-ptpt-0033,TO,TO,TO
kts21-ptpt-0034,TO,TO,TO
kts21-ptpt-0035,TO,TO,TO
kts21-ptpt-0036,TO,TO,TO
kts21-ptpt-0037,TO,TO,TO
kts21-ptpt-0038,TO,TO,TO
kts21-ptpt-0039,TO,TO,TO
